species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Chinstrap,Dream,46,18.9,195,4150,female,2007
Chinstrap,Dream,52,18.1,201,4050,male,2007
Chinstrap,Dream,50.5,19.6,201,4050,male,2007
Chinstrap,Dream,49.2,18.2,195,4400,male,2007
Chinstrap,Dream,52,19,197,4150,male,2007
Chinstrap,Dream,52.8,20,205,4550,male,2008
Chinstrap,Dream,54.2,20.8,201,4300,male,2008
Chinstrap,Dream,51,18.8,203,4100,male,2008
Chinstrap,Dream,52,20.7,210,4800,male,2008
Chinstrap,Dream,53.5,19.9,205,4500,male,2008
Chinstrap,Dream,50.8,18.5,201,4450,male,2009
Chinstrap,Dream,49,19.6,212,4300,male,2009
Chinstrap,Dream,50.7,19.7,203,4050,male,2009
Chinstrap,Dream,49.3,19.9,203,4050,male,2009
Chinstrap,Dream,50.8,19,210,4100,male,2009
